[96, 'spam_score:', 0, 'GDFYYBKTWHW4YLLJNWK7SPC5MW7MANPQHFTPQ3HSVZEB4YVAX373ACZV']
[97, 'spam_score:', 8, 'GAPJ43UKJ7XCBQ6SP7UWEF43I5WD4U4RY3SRF7GYPKW5J3ASWS2JUYDC']
[98, 'spam_score:', 12, 'GBHZ6K3JOGAMYTPVR5M5Y4MVXLA4IUAF4BE5IWL444236HOBOJFZCZHV']
[99, 'spam_score:', 0, 'GBPPHA6NL7UHE5SDO7CMRVWVN3LVZTTUQUEBIAQQ43Z2SVXBM4GV6232']
[100, 'spam_score:', 0, 'GAR23JN6FZMZDLKFGGQFYY3GGQHFUVTC7QQS3OA272SURNNMWPPAHUQN']
[101, 'spam_score:', 1, 'GCZHCRMII7JTEQHEUQWIGMOUYTZQXVGNLUUS6Q2VE74X7NTNLGD67GJX']
[102, 'spam_score:', 3, 'GAZCBROIKC6V7S75VEHRR4WYPFSE2F4GYHAKNRVWFDB7E5Z6JCV6Y3V5']
[103, 'spam_score:', 0, 'GD2JPF5XCHPR4ZQIMTZRLCBTWGMRCRKZAEXYEG4MFQPY2YKTO7ARM7S7']
[104, 'spam_score:', 5, 'GDI5CDVRTILQV7J7LWMDDRR7PFVALLJLNWPSO5C6QEJEARFYMHURLEOG']
[105, 'spam_score:', 1, 'GCC4HC7KCYZ2UJEZU6HMH7IL6G6TWSWW7HPEZSC5AF27LPOQXE4VQNOR']
[106, 'spam_score:', 0, 'GCITWOBGPZP5A2VT7TMZE6NKLYL2QLOBBZLRRRN6VFWMEE6Q25T5P2WB']
[107, 'spam_score:', 281, 'GCSYT7X6ZEZPAEDAXYQOEYVPI7HVOI66XMSWS2PQWXYUXFHX5TZC5GLK']
[108, 'spam_score:', 5, 'GCUXHGFJ7GNPCHQIJY7GNATIMGJ6WKGN25PRU3Z5FWENV6GUPC2P2JFW']
[109, 'spam_score:', 3, 'GBNEMGCKSYNAA7YZYPIDHAZO6X5DM6CLXVNN34ZZQNCCDV22MUFLF4LH']
[110, 'spam_score:', 46, 'GAMHJRK44V2WUDSH2Q4RALRCVDA7ATENZ7WB5QYW3K3EYW3NHGKOFG5J']
[111, 'spam_score:', 4, 'GC7W4TJGU6SJXXCXMZRMW4Z5ROCYTLACF3PVQBNE74UVZPYSXIOFNEM5']
[112, 'spam_score:', 9, 'GCMIGOBFY3X36ZDOKJMHMTOUIIEBNHQ2QO3N3ZIFWILLTWJETNQQJYJC']
[113, 'spam_score:', 3, 'GBX2SGORZH3MONCJKOH7ZQRR2ERE657GXM7CDA55AQS5O4ZSRRGYFKZX']
[114, 'spam_score:', 17, 'GBFHMLUPNY2KBCC4G2GMEMVZ5LFZHE2ELOZ4LGJWZ2JMI7PXLP252P2B']
[115, 'spam_score:', 0, 'GBI63IDIS43IT3D45SN4D4FAP45BQP4SHDWG3FTNIRTGY7P54UURXZPK']
[116, 'spam_score:', 4, 'GBR3NWXKNAEPJR4AJPYNICKY2DYTKG3BXQ6W7HJOXTOAJ3H4BIHOFTRD']
[117, 'spam_score:', 3, 'GBVB7V65G55GDLKLPY3H34TBCIXAHZTOM2ERLDJMDOYXBMZYRVQY2MHN']
[118, 'spam_score:', 0, 'GCB4GM5BODU5EWEMEEJAZWBRWCGHDFIJDYXDFDUA4ZDXCJCAVGMCMM3B']
[119, 'spam_score:', 3, 'GCDEH7WEJ565YNR7LBMERCVEQ56GQOY5VG34ATW4EAFHOB2L37N4MEEB']
[120, 'spam_score:', 39, 'GAP6D763M5VPT2N5QTYOW57U2MDZVK4W5LIZ5HWS5B2CHB2USB7NPYJW']
[121, 'spam_score:', 0, 'GDEEEGINAMDYU2JXGPSN5T5NTM76G2MUPK6LTIBKIGVHQD3EC4BUYOPQ']
[122, 'spam_score:', 18, 'GBBJBGW3HIELVOS75XJRWFXK7LKUJF3ETHDMNODFMNHPFS6Z5OLCUBYY']
[123, 'spam_score:', 0, 'GD4SXTT7X4KEPKCFXYEDWCWQ4YWZKOHMCXEYTSQGAKH53J3DXEUII2WQ']
[124, 'spam_score:', 4, 'GBRKC3UQ3VB23YJ2DIYQWTODLTP2YB344ROHBDIMV4DAEX4L6P6QDDQO']
[125, 'spam_score:', 1, 'GARUJOPH6R4ZVXX3PRZLRDTSZCMUZDOMO3KUFS2XQGZWRPT3GHP2Z5XQ']
[126, 'spam_score:', 62, 'GBMJFMU6A6L2PMPA5NU6LF747FIQ3F7M3SCFJTJXCRD7PMFEWJAGTZNF']
[127, 'spam_score:', 8, 'GBU4SCNWR7HFVIVBVVNV6TGGSB76SLS42FRD35KPR2IGQN2MN3G4GW6H']
[128, 'spam_score:', 3, 'GCWSMPZBCFHDILZC2YVNGXYI5ONBCWYAPGLCDELCXFW4SAZOZ3S2OZE4']
[129, 'spam_score:', 1, 'GBGCTX6IVPQ52YMAJ7V7PIWJT2ATLFLLFKCBLWN4BBKGTBZS5HBKS634']
[130, 'spam_score:', 0, 'GAMF6GZ7QXSVUO4OEQBKVGYOE2IDKSNQKGN4ZUEKASQHA3YLD4IORVYR']
[131, 'spam_score:', 1, 'GBVML26OP26JIEJ75DZ2YJIDVMTQB4MCLXQ6BFUCY2OREJCTVXFRWM57']
[132, 'spam_score:', 0, 'GDZ2DCHOB6RI2NOSACI2T4E4Y6OWZX6S5QUKQVC64JKYZCXYL5AXIC6D']
[133, 'spam_score:', 104, 'GDAVGX2LTI7NO4WMDBE2O5X25ZWBCBHC55FL2CDY35OEFS6DOPMQXZY6']
[134, 'spam_score:', 16, 'GCISMQEM7CBGXIFOV4BPTUOA4FGNU6FXSGZW6L2HXSVGLRS3ALZ2UQ7F']
[135, 'spam_score:', 44, 'GD44XKWHCPXG7JAHBPEYXL4NI4F6NKUTJE2KAJERW7Q5HWJU6EB3EWYJ']
[136, 'spam_score:', 2, 'GASXP2AK575YDDWMLFPAPSEFNNXDTN7HKZRNJV6DPM7KSGJA3R3E2RJ7']
[137, 'spam_score:', 0, 'GA5AGL5IFD7SZRI2Q33ZSXVXGI6F2DWGIJCZLUW6TOQZVH34OVD5PFU6']
