top # of balance,,spam_score,adr,balance@0516,note,
3568,spam_score:,0,GDN33F5IGWZ66KCHBPBOVU7BQ6OKBSSZIJLW3RC4GXPRONTBZMP4SX4X,"3,400 ",,
3569,spam_score:,0,GC5Z2OZK7HGK6YOFMY53M54DFXJHACQDME5PNMSQ56DHLUL7VE2FIFGW,"3,399 ",,
3572,spam_score:,0,GBSSTCDKIGHQCTV5Q2YBLREUTYP5PBJD3FMRRZ2NQOBQTRCDGB7H2CO4,"3,394 ",,
3574,spam_score:,0,GDFIZLYKSBS3NGAKYW4VVFSHBGRHUJUIZILZ6LALYAV5IY64BCLGDVB7,"3,388 ",,
3575,spam_score:,0,GDLN6IKQDYRPVXHV5LNITMYT6OCMET6EUOP5HLUJALQ5F5DEHQTMYVTX,"3,387 ",,
3577,spam_score:,0,GBEBI6GIXSJDWFT6RJBF4FG22NHEXA7QV4737WGFLZBVOXPDYLBKZF2U,"3,387 ",,
3578,spam_score:,0,GD2BLHKQZE66EZV7ZRJ6C2P7BE2XWAFHFYIANM7BE46SSLUP3NFNSX3O,"3,384 ",,
3581,spam_score:,0,GBXVY46UEZKI2FZIOUGEMYYEXE3JCYYQNEZMXQN5BK2W4W2IEIHDX2IG,"3,379 ",,
3582,spam_score:,0,GBNDQVQBTJ2XBOEDK643P2V7P7RE5JIS7UA6YWW74ZT2BU4JBUBPDDQI,"3,378 ",,
3584,spam_score:,0,GBASPMI3CZEDWRJ6ZNQGK6HQVSQ5CWPZDM66LPP65BYNYYHOZPFFWEMF,"3,376 ",,
3585,spam_score:,0,GCDN5AWV6ZXTK423BM4IARAA62HNGONGDI7Y46GACR6UXON2M5X5GXL5,"3,376 ",,
3588,spam_score:,0,GBAVV7PCO4CSFAZYKJCOFK4HSTKOFJE3J23AW52WYUHADYZBTLDRW7CK,"3,373 ",,
3590,spam_score:,0,GARFO3JNBQ4AUV27ABFRZZURVT5IN7MH6ZZ755NYEOPLNXE5UYBNNDFB,"3,371 ",,
3591,spam_score:,0,GBJE4EQ3H56SGNQMSTFL2EZHQHOB7GMBCEV4DOZCKLOGNP42BHEURTMS,"3,370 ",,
3592,spam_score:,0,GD647X64UPHE23BRMOI37LLAV4TJTSOMUYTDT54FQ5XG4MYBOS6ZXWL2,"3,369 ",,
3593,spam_score:,0,GAEM3VPNL5YO2KFG6BTCJT4ZMXPILSE7HLB3UP5KGKYDJ7ALLILQAR2P,"3,369 ",,
3594,spam_score:,0,GCGHVRXVCNS33OYTUAYYQCXYCXAA2XHKEIRBYGST7AOICUKJ726ZBTH4,"3,368 ",,
3595,spam_score:,0,GAJY64UBPGE5HZTOQLBUX5O4VOQ6MFERS63G3Y4ZRHZHRQQHZUWXTQOB,"3,368 ",,
3596,spam_score:,0,GDIDUJZSJOHLNYRCPU4UHN27X5ZCLRC3HUK76HD7PXJYXQ2PQ42ICKNM,"3,368 ",,
3597,spam_score:,0,GCHKIZX42GGQ46RHNVY4DHRQ2O7YHXONDRT3XS2K3HBZFRUU7PL3QVUC,"3,366 ",,
3598,spam_score:,0,GCMYITU265UE7LY6NWPLK53VYJR6P2Y6R3BPC5Z5EC6NRXOYRZ5NV7TX,"3,366 ",,
3599,spam_score:,0,GCQZ3XFUGI2PCKDFVY46OLTP5YFXT4BR63Q67RKLDVK64SZXHKCLNAA3,"3,364 ",,
3600,spam_score:,0,GDT3MKJTOYVQKKUZ42SHAN66ML6DHP67XNUIA7DTCAKTFYOZQUPSDXFP,"3,364 ",,
3601,spam_score:,0,GCNVE42Y7CYGYIHSKOGCVL2273Z7HGD5KVYUBMXFNW4TIFFTTGXU4CGB,"3,362 ",,
3602,spam_score:,0,GASCGR5IC3CZUTA7JUPUBLXLFUB6TQNTZBJALBEOSDJRRFT2GO6XSLCF,"3,362 ",,
3603,spam_score:,0,GB2ZIM7NP4UP3X3G4XZZ5RBLJQL52LUNVV5CJCEMLCNQBANJ4MTA7YQG,"3,362 ",,
3607,spam_score:,0,GCP2GCKT6WHR6XNKVXWSYI4YPTEEF3TZSRHNQYFWY5OMOFUO5WWO2YAH,"3,361 ",,
3608,spam_score:,0,GDES7JH534AATONGRNIDERYZ5JS7WXGPSWWUO5SRV3QKYFG4OZKI3GHB,"3,361 ",,
3609,spam_score:,0,GABZLKZAR2X3QYCZE4P3I6FG3ADJU7RDWTXCA7XXR2KO62UB4URXSJE6,"3,360 ",,
3610,spam_score:,0,GCHBPPJY56W3FRYBZBUQAVRL4EESBK5GW2PPDZFYUJWPTQNDX277A5TN,"3,358 ",,
3611,spam_score:,0,GA4ZVWS473U7ITPBPJ7XVGGPMJ3J6QUAWPVYRECUGEUM7WPAS6FJOEDM,"3,357 ",,
3612,spam_score:,0,GCVW632OIKLHZ4LSMJ3JRDFNREOQ6X6XIJSQINAYOOJVYK26OIBUTYW5,"3,356 ",,
3613,spam_score:,0,GAS76DKHIRPWLFIU26RD5BT5FSH2E7XS7AIGVDN5DL7274CTJOGK4LNK,"3,352 ",,
3614,spam_score:,0,GCLMYJ7H4LLAEL4L3GCBGWLZ3ZO75MZXMDL5XIYBI4JHJTI2QR3A3V7P,"3,352 ",,
3615,spam_score:,0,GBQR4U4ASENRDXIIKNDRMY4NUM32E4ZY3JH745L6YBLUZO3C74GOZAUF,"3,351 ",,
3617,spam_score:,0,GBSJYEOHYTOLQUX4WPAS3BRGXPZJHNWAJF7SMNW2IX4OWILYH3R2UPNS,"3,349 ",,
3618,spam_score:,0,GASOT5S6WWBREV3BMDY3FDZ3VNGREA6G2SZYAMSSJNHDUMHJPPDD5MQ5,"3,346 ",,
3619,spam_score:,0,GC5N4PTAVM6IZHMZ4VQLP6HWG6ZNODNBBRGSUOZAYC6WA4KYF2OBZ6VZ,"3,346 ",,
3620,spam_score:,0,GASMOL47BQHZQNF6SG4OZXAYV32OFY3M6L7QSTPRYZVYPVEWGPH2YYQY,"3,344 ",,
3621,spam_score:,0,GC27KOUV5MRLRAWLRIKDENCOHGIFFVXM63ZJQIKHRWB7A3VS5STS2NIF,"3,342 ",,
3622,spam_score:,0,GBGXJCOQ7467SAN23FESEY64DKVCOXJWYCJMLK3PFQADCVYXHD75BWHG,"3,340 ",,
3623,spam_score:,0,GDZK4B5S6F5PLXS7DMALZFHQOPGJGCAP5VA6VLRE3WQBRJCBF2XW666P,"3,339 ",,
3626,spam_score:,0,GA2CERMOKKC3YB3BVTFGVTUY5U3TB5W7CSPUCYG7RKFVMZXMKRUI7DMG,"3,335 ",,
3627,spam_score:,0,GBA54WFZONL5R4SQW2BNI7ZRFUY56IOSZB5CKSFG65SCFNTGTB6J7B4I,"3,334 ",,
3628,spam_score:,0,GCK2G62C2E5KG7SI7CW5G6GB7FZNS36WBVNBUELFSBDYWUJKVJMT7373,"3,333 ",,
3629,spam_score:,0,GBTROFNPRMGBH3W7KQRH5GVXZ22O4XELQV5UET74RLDE2QAZCUZKUEFX,"3,331 ",,
3630,spam_score:,0,GD2VY63J42TM6MWOO2VZBLZENE5IUTDV23XVIWAEGD7DJWIKCEDQTGCH,"3,330 ",,
3631,spam_score:,0,GA4ZUXLU2NL4A32YU2LSLVWCZBNYJHQQ27QOS6P7QNCEPQ7KD4FBLLUC,"3,330 ",,
3632,spam_score:,0,GD2QE474RTTGU2DQOLFRCJZEKIEP6W5Z6Y4XCYBEBJJTIBUKGC7OJ7LK,"3,328 ",,
3633,spam_score:,0,GD6A7HDN3GTORON7AEPZUTU4RWU65TQOFDMHWSKDMS7OFLAFKBKQQCFQ,"3,327 ",,
3635,spam_score:,0,GA7J7PM26YCWKW4IVSH6SW5LTYDWNTKAF7AEEHV4YXSUPGZAHIHGKZVR,"3,324 ",,
3636,spam_score:,0,GB77OMJKE7Z4MQ6KFXBMLHJJZ5CL5X2LV7WI5QMPQT6W3FILAYLANGMH,"3,324 ",,
3637,spam_score:,0,GDJ4JQQHY27FQ4VTX3MPUL37LCME7DYNTZPCXDMHQIZ23ZJC6UOTNWM7,"3,324 ",,
3640,spam_score:,0,GAETJTSVGS5G5RCEJVFMOGG6FPCJFVTC2SX5SOUCQTRWQSCVZHJB22IZ,"3,315 ",,
3641,spam_score:,0,GAT4JADCZJ7P2HKSPPA3QZVZXFMRUHP2ZCZBAN36B3XVE2PDP4M2YZPW,"3,314 ",,
3643,spam_score:,0,GAHFBXLVVK7NASLSI5E6JA6I4BLYZRQCG3Y65NQKG4DZ4WZL2BWSZHYS,"3,312 ",,
3645,spam_score:,0,GAJEAN3JDY2X74N7NPJOEA7Q47JVTFJXO6K2QYAVNZ2L3GFX65HWIN24,"3,310 ",,
3646,spam_score:,0,GCXHJ74UAIVXDUYG2DYHKQGFQNMPZZD35K2CBZDT6SWMXVBMDEYI7GAS,"3,308 ",,
3647,spam_score:,0,GA7XGEXULFHHOVULAYOIQGVJ4OR5R7QRW7V3YQAYDVVLK2UBPFJ3U2J6,"3,308 ",,
3648,spam_score:,0,GDWRWF7GCJYXAPT42OAMJYEWTKHFEMR5B2W6LYNMMLEPLK7VFNOIQ3GC,"3,308 ",,
3649,spam_score:,0,GDQJYYHWONW26HQPLTYVEU4DANRW5P4JT7BN4HUE6A66ZCDVP4DUTGUO,"3,307 ",,
3650,spam_score:,0,GAJ4RSI5RPOIKUMBW6HDBYTLUEOULVY56RSPFPMUMYAQWPELIDV2FKFV,"3,306 ",,
3652,spam_score:,0,GDOKWSQPR2UHEKXUL2SQM66ANFBQRDMH73KUC4CNNBIH4ZVHX2BI2CC3,"3,303 ",,
3653,spam_score:,0,GDJN3WCHFDUQXW4SZNV4LSKAAZESZNOFV6NUHQNXNFGIJJB2P3LOPKYJ,"3,302 ",,
3655,spam_score:,0,GDDYJ7TESJOW7C6TCU46C7ZSMTT3Z4LIQAHWZCM3SGYGZ6L64AHIPRTX,"3,302 ",,
3656,spam_score:,0,GCGUMK2OUR6DNIQ5SOMB7RF3ABTVKJYVBWQIQQU6B5N2FQ6VFUJRPHBU,"3,301 ",,
3657,spam_score:,0,GBYUKA4JULCJGUPD2GDNS2ZMVD27RG3JQTKKGVD6V5G6O3GEAILJXJX7,"3,301 ",,
3659,spam_score:,0,GBBQ4R4QXUHR2IVDL2TMYKJUWMKCPPUNGIGKUQ7R6AQFWSEHXX3DQ245,"3,300 ",,
3661,spam_score:,0,GCDHKKY7IJ4AKHLLHOBROQRNMHUF2RUNTSSTOGMLQ6DRFBNRIISVA7T2,"3,299 ",,
3663,spam_score:,0,GA6H5YKMYT5K4BXHG6VWCYKMOEZPJTS4FVT6I6BNTG46MNCEK7SWDZEO,"3,299 ",,
3665,spam_score:,0,GA6OST7S2W5DG6IL2MCQZEWUCL47DKDXXWPZYPG3KVUM36QPTH6TDRAX,"3,299 ",,
3667,spam_score:,0,GC643L44R44M3NPXAJPYXPMGLGMQ5DA3IYQLUD3XPTVPJD4OLAR4HKIL,"3,297 ",,
3668,spam_score:,0,GAONZ6RI74WLAETLJGL4CJUJT4ZX7ZI66QFIMKKE2XMWZURIEOZ6ZXKT,"3,296 ",,
3669,spam_score:,0,GCFIRSGODEA2NR7QMKVNAKFTV6L6ETBZ5FS4MAAHRMEOMD3Y5PXWROKB,"3,296 ",,
3670,spam_score:,0,GB6JKY6PGY5UTOTMRCUGENZQBLIJBSJ3Z22SFKAKKKBU44M4ES2PVCYS,"3,294 ",,
3673,spam_score:,0,GCTHHU3LN62YMBG4ICKJ65PHX2ORMULXQN2I2R72GTIOT524SDPYDRRR,"3,291 ",,
3674,spam_score:,0,GAVOECVY5USEZT43KTPGE2TIGL7E75L7QHRYSU2YRRIHTWPCMZJBQQZZ,"3,290 ",,
3676,spam_score:,0,GBVZGGJWBINW5P6AG6INEJZ6ZJ3U65IUBZQBF2XS7BJXJDLE4XVV24XP,"3,289 ",,
3677,spam_score:,0,GBZHAZZRRYUTDKSKLMMW5V6I5W6E2EHFM4OTXOS7JC6NG3OW6EB2KABK,"3,289 ",,
3679,spam_score:,0,GDOTJHOGQZMV3E2MYPESZOTVE546ZAL2MTWIVRN4UIWQX4TDWBZNJ6JD,"3,282 ",,
3680,spam_score:,0,GALCJGSMO3HGTVLLOYTBXTMCHRIKW6PCXLEZYQZWI2KAHXKW5EEQAVK7,"3,281 ",,
3681,spam_score:,0,GCWMAGWJW5EI7NB34DGRI6LEJYA7MAEOGGD5DEXZRH2RUBMJJPTOGA26,"3,280 ",,
3684,spam_score:,0,GBRT2ZT3QLW5S27T5JBNDRCEXLMRHLTZSQS2SQVBFB2ZHPE2KBWL2YRI,"3,279 ",,
3685,spam_score:,0,GBDMFPQNK3HVVAPH5HJWETOM4HRRLU6SV47Z37ZGANAEH2C7P5IHLX6X,"3,276 ",,
3687,spam_score:,0,GC4KI36TFQHDCBUHLI3KPYM7SZY7TACII4TLR2UJXGXZILO3DLM7J6X3,"3,273 ",,
3688,spam_score:,0,GC3RZ7DB27U6KCXT4HJJLCBV3AGAB6KKH3P7B32TSQW7HYHNK3F2WVEM,"3,270 ",,
3689,spam_score:,0,GD3FT2ZYY7BJBZZF65Q3MNBTQLUAIL6LRYLI24X2QYMXYQMY7PMBC24V,"3,270 ",,
3690,spam_score:,0,GD7M2HJR5YHZM3VI752MIZPI4UBGB2NMVXUVWVBXNAWWH3EDAUKDOPPD,"3,270 ",,
3691,spam_score:,0,GC54SQYYIRHU2OERNCFBD5VMQJ57OVDZMK2HZ42DXAXOL275GAQOAVY7,"3,269 ",,
3693,spam_score:,0,GCFEKBSV3TZMCGAKFG65JCTOU6NOAGRHUJACVU2PR2YBZWDEK26HRVLB,"3,267 ",,
3694,spam_score:,0,GDEGIBZGPPOKGNC6BTO2G6XZ53Y7GXBWPKT2EEXJ7VGY4FAMND5KCO6L,"3,266 ",,
3696,spam_score:,0,GAQWW3IDBGR5BYVJZC2IJVAUMFK6DEB2XZC4WOZ6WRKYC3S3GVUEDQKA,"3,261 ",,
3697,spam_score:,0,GAHIXWVVQL4657BTJHBL4WJBKJFPALVELWOY33CBWILH3QFQIO6HQQWQ,"3,256 ",,
3698,spam_score:,0,GC37CRYDNZB375GCL3QS7HKJYK4UAPAGSBDIIHWOALLWPNJTPQYQTBOL,"3,256 ",,
3699,spam_score:,0,GANBXWNTEVD3DP2B72DOBNEDYOTBGMP6SFKF3PGCZVPT4G4KBAJFCFZ7,"3,256 ",,
3700,spam_score:,0,GD37SIBHEQZWWWCDA2MQEHQ3OV3NBZPZ3R64JED3VV4BJXXGPXTVWXPT,"3,255 ",,
3702,spam_score:,0,GA3CSHG7ZPHXYBDXK5OYBRAOLEREU2UNC32ILNP4J5VBVSEKLFFAUXHX,"3,253 ",,
3703,spam_score:,0,GANWYQIKUIY62WBSYCPYIPYOTMYNPYXROC4DMC6YQQ5LCIMR3EDYDDBJ,"3,251 ",,
3704,spam_score:,0,GDN7TXSFJDLLNEJSABAJDTJ2WIYPWFKA3KMZRX3C7HBWLAY325DUWYV4,"3,249 ",,
3705,spam_score:,0,GDFTWQ4JAXF47CEUDMBK4NSA7HPMAEFRQUE3OZJ7OW5QBL3VWOH5ZBUU,"3,242 ",,
3707,spam_score:,0,GBCVLSM25FGABKO5DRESWMIIGXEPCW2ZXH3GNBVQPFQODG6T2WUJNC5F,"3,241 ",,
3709,spam_score:,0,GBBKV2Z3AQGS3BKDAP4WAY6PT5AUZ5EIVGW7VHNKLH64EZGAN2P6J25Z,"3,238 ",,
3710,spam_score:,0,GC76TAH2PJV4F4IASCA7UQX6IE2EL4HUJS5GGKSJ3LLYF3AGJQCKFHYD,"3,238 ",,
3711,spam_score:,0,GB2BMRWYESWLPMX3EEORN2BFQHHL6PXIWOYCPC53NEPKWGUDRHBD567J,"3,237 ",,
3712,spam_score:,0,GBBZNTSE3TKK6TMX67XRXMHGTBNSEWUMF7V22RUYSMGPCQMX6BHM4XET,"3,236 ",,
3716,spam_score:,0,GC2SY6PCL7SXSMO3QYZW3F4AWNW4DZKEOKKZXM5PSGEIWVWVDK5FPQOY,"3,231 ",,
3719,spam_score:,0,GB3L56NLVIERCVFAPBBDMUYS4HSKZVR3FZQSAR4ORLNYXVAI6ZFJ5AXR,"3,226 ",,
3721,spam_score:,0,GCVEAVDLKNIOSIOCAKOOHUJWXG7X3OZSMSRMXMPIG2FBG27FEEVCCYCE,"3,224 ",,
3723,spam_score:,0,GASANDTI3F7OGD62KMCI6MBR6KTCMMBXGG43BRS3B7YNWIBC35E37RXB,"3,223 ",,
3724,spam_score:,0,GBQUI6RM3LX3YHDELEJX7RQLFJ6HWJX6UZDCFBSQMH3ERUI2FF5JKPJQ,"3,223 ",,
3725,spam_score:,0,GD2VWD4WFKTJYTQO7I4XZBPYCH3FHU7JDKGSLAWBMG6AGRTHK7AOPAPW,"3,222 ",,
3727,spam_score:,0,GCVZOXSGELGCNRUTVJGHKPHLRNCQXBPHE2ZRXC5YCQ2JS5ZRQ72MQO2D,"3,221 ",,
3728,spam_score:,0,GCQIYDOZT3XLJCKYLUIHHRMKQF4AS53AFOE6MBKJC6KT2BESMU7LIG3C,"3,221 ",,
3729,spam_score:,0,GBSHNG6OHSOSMAYLGJLAZYUYABJ3H3YOU2JV7XG6ZOFJRF25THFSNUWX,"3,219 ",,
3731,spam_score:,0,GAZ2O2KARZC25SLJDMJZK45JUYIOT7VY65ZOHKR4DTLTBGLSESYS6MIF,"3,216 ",,
3732,spam_score:,0,GBXB5W3XISCH4LRWY6K25AWZUENKV4BZABHCMRU7RXUIA3ASQTNMK4LM,"3,216 ",,
3734,spam_score:,0,GBYSNOKUDFUW5CRH237KIGU6H45LUZMYZMN3TIM5DYRMLAJUV2QDJR3T,"3,214 ",,
3735,spam_score:,0,GD7SDUDFUWRN5RPC5EWKH7PBOA33OTJNV32QRZ4XUN6LKOVE2Y72WUN3,"3,213 ",,
3736,spam_score:,0,GBXYYGMFVARVVZFKJ7MYO4ZP5NAI2PYE2VUAK3BGRU2S7BYUV46DZS5R,"3,212 ",,
3737,spam_score:,0,GBNVTS7IOFMOWKDHRIRSA3IW7OLYXHSEIELQVQKAD4Z4QNLHX55XPVJJ,"3,211 ",,
3738,spam_score:,0,GB2PDIER6ZBUHNK6MARV63AEJVH44HPMJS4IZWVOUYDQM4BBKJC6ZOAU,"3,211 ",,
3739,spam_score:,0,GC6ZMWU42JVBWL27SYZD4EJFM2BGJ3GMENBIKPJ2OSDJIZX4LNTUU5N4,"3,211 ",,
3740,spam_score:,0,GDBMGJY33CLGPFHQ3CRQQIC7LOTDY3C7ZNY4IVTKGXA63B4FTV2F2JW4,"3,207 ",,
3741,spam_score:,0,GBWGTRBFS2M6ZAIVUPBWPRCNJGWXKKHYOHW7PYOPE6GBXUAHEGPESHMW,"3,207 ",,
3742,spam_score:,0,GCCM4P3LGDKD7GXE54V2KZZHDAH5VKHBJZAGX56P2YVWV33JPBPYMMN4,"3,206 ",,
3743,spam_score:,0,GBHUXN3UNVPWB33UOAEE3NULEUVCXYQIHQ5AFOXDHDSKYTL25ANBF7DB,"3,206 ",,
3744,spam_score:,0,GBM7SRXQ2FE3BTFNGIFQYC6UEGYQ2QKNRK72D52ROK4YIV6BYELODZWC,"3,206 ",,
3745,spam_score:,0,GBX32O4HDLHFR42PCP45IZNGTWNY65VU7XO76SFIA7ZKPN5JOUIXOZB5,"3,205 ",,
3746,spam_score:,0,GBLSSOVYB4RKU5UV43QJQO6GDELOKXSX3ZLVRL4UDY7E4GSAGAGL5NDX,"3,205 ",,
3748,spam_score:,0,GDCOOUJSYLBERCICSV6TTF3X2HXKGAVSJIGTHLJVIYWGUYMCRHMZTOSQ,"3,203 ",,
3750,spam_score:,0,GD4H65YOZMJOHJ433S3RH2KTJWVMTNBICCCSMRY7AP3R7DFQKC4A3LZ5,"3,202 ",,
3751,spam_score:,0,GDKHHEIBVXIWGSVKB6AY4OQQ3SHL26UKD2AQFNUQWGJFOODBTKGWPXMT,"3,202 ",,
3753,spam_score:,0,GAIHS2CFDU34RBRHGFB2BIE4W3SENIVZ2KSDVT6UZVDOXJBVITJNWAAO,"3,201 ",,
3754,spam_score:,0,GDWCA7I3B5BGZIWM2M34RFN5GQILMVSMQKXMPQKU6474LGK3JMMTPO7V,"3,201 ",,
3755,spam_score:,0,GD4MUDY7UGQIQMM4K66J77SODWXMLBJ6JHPHNQH37YOEXNSRNAB5CPY3,"3,201 ",,
3758,spam_score:,0,GCCOFPUFHZXIBFKCMXHAUASEAPPJJYCTZYE7755A2ZAU5ZR3XWUYJLGH,"3,199 ",,
3760,spam_score:,0,GCPJTLIJKOHMUHDC2GIV63LKKB7U46NHRII5JZL6YFL3UTXQ7RN7WRYD,"3,197 ",,
3762,spam_score:,0,GA3ICR3JGKRWGO77TNFFBJQTGCFGJX5AE5VFGVENHDG4V3VG5DZ7NHWF,"3,195 ",,
3763,spam_score:,0,GBTCJRO32BUBKVFBPN32EOSIWLITKODTZOREZSPQFQRWJ64AHCRTF4NC,"3,194 ",,
3764,spam_score:,0,GBQFVDLWGXTMZ2WLTZ6SPJSTBYICAEVMZ3UY5UABWE6SH2PFTSFVDCV6,"3,194 ",,
3765,spam_score:,0,GB4VVXPG7RQYRHY54M6JWKCO5IWKKPDZRYPEHOSXSH2LPFGQCQW6J3VI,"3,191 ",,
3766,spam_score:,0,GCXRSI65E6TNN7EWWWESJICG6CGJGAKFO5I47GA67TP5QKNBIXH54WRR,"3,190 ",,
3769,spam_score:,0,GDEJNXRGBQDYVK5ADQCHUWCHGP6ACNTVRJWDGM7FS6IJ34B4M3N3CNWB,"3,188 ",,
3770,spam_score:,0,GCDWKNIFMY7IHGWLGHKW2AVQTFN7SJQJPJJYGFKXVPJ4YXOKE7WCWKC7,"3,186 ",,
3772,spam_score:,0,GCR67ONAXOF7TULHCHKFJJDQUXMOQUWHFIZPVC733I66OXUJZG2IEMT6,"3,182 ",,
3773,spam_score:,0,GCAY5C4JCG44QCGOFTNHNONVNKJA6RJAG3J4TQPKWADI2QJFYPPKLAUL,"3,182 ",,
3774,spam_score:,0,GC4EO2ZC2HJQXKHZ6ZO6AP24LXNMLBUZL75CZI2265NWC5XRPDBVCR33,"3,181 ",,
3775,spam_score:,0,GBKH3KWB7A5NMQXQSJRROSYGA7OM7N5VQFBIQ3YA53NPPOBFJJZOHZLJ,"3,181 ",,
3777,spam_score:,0,GA7G5GNS4STJJ46KR6C7ULXA7HSP7YAK3OX57IBJWSNJI3PFDYRICQZD,"3,180 ",,
3778,spam_score:,0,GBSJNBO4BNZSJV2PJCNT2ZLWRBHQZVVYZ7JYTMUNRZN46DLUN6DEK3SQ,"3,178 ",,
3781,spam_score:,0,GDUWXYVIOWBDU7DQT2IMYRA5PB37DIVY23HCRGS4VMKPFSVT54IUWTIQ,"3,176 ",,
3783,spam_score:,0,GBTQGNGC7Z654RN6ERF6CUZQDXFS3YAUTJLB6BEEELLSCU7VJHEFC7NX,"3,173 ",,
3784,spam_score:,0,GALSREJEDFQEMZCMRUOD3LOIT4OJCGW2XFRILTUNJH26IN7DBCJKJHNX,"3,171 ",,
3785,spam_score:,0,GAOABFLOHSCX55EKAIHOZR7TNJLT2Y2TVNNK6EFBWSSOK6VQLJCKGCVR,"3,170 ",,
3787,spam_score:,0,GA4FY3GY6MXYCEEBWLI7MDW4YFWFB6LJM6S7QM2W7F6HG3TYMY6PPLVW,"3,167 ",,
3788,spam_score:,0,GA2SKGFBA2ND7GRC72PM6K2DW44XBS44KJFDBFSNLHOQL3JOJWXR2VJR,"3,165 ",,
3790,spam_score:,0,GBGY44DK23RWXU4KELU4VWBA55B3C4MAH3YAAGRTYFFJRSFTECVWHYCA,"3,164 ",,
3791,spam_score:,0,GCRRFXWPKQSIHQ32CDFC3UDLNY3OM7VRWNYSKA3LKWZPAYFYM3BFMNY7,"3,161 ",,
3792,spam_score:,0,GBLQS46GFRF4JSAGVIEQ4QW7K2LTY5M3OX4BFGACQNHSWQVTPUE7SFHA,"3,161 ",,
3793,spam_score:,0,GC33RAXDVFXUM2YW2SO22CFOSXK5LOQSIBENE4MEBNVCR2N467H6S6KZ,"3,159 ",,
3794,spam_score:,0,GAH56SGKVKLRZC6W7ZYDQEURA76TJBUSW3E63OGFIBR2KDXZH36IUAYK,"3,159 ",,
3795,spam_score:,0,GDINZ3IHXLNWYROMZUUTUFL53CUZNRQYMVKCELU2NKCVTOSFKFLITTRF,"3,158 ",,
3796,spam_score:,0,GBHI2P3P7HSJ4T6ISQZMIZ4Q34KOGLECWGSWTJPJ27R7HOF5D2AORXYA,"3,155 ",,
3797,spam_score:,0,GDKCIKYVXGNONZRK75IU5UG5VYHDR2T3XZXL2XD2KFW3B7SUJV44RBOE,"3,154 ",,
3798,spam_score:,0,GBGLBTFXD5HETBPD5XCD5WNFQLLSVICBJV3X5NRU53QADC7OAYZ7UBQP,"3,153 ",,
3799,spam_score:,0,GBUQ3AHUS7H3RPJUWVSEQLQ7STWPBSPYIWRMXDWZLFULSQUGLC42LRVX,"3,151 ",,
3800,spam_score:,0,GCNDBY2EVMDUUFB46XWV7KBSWEZA6QEC4JSS34KM7Y2743W22J6VXEL5,"3,151 ",,
3801,spam_score:,0,GB3HMQNFTVEGHBARAGOGSEMUTBPGTKMEZGEGDOFNO7YFU3SBMNOPTYTM,"3,151 ",,
3802,spam_score:,0,GBK4W7SNHS6MUW3HM6Y6VLPVMCHZJ6OMAWLPZJKY6675X3AM2HLELDB7,"3,151 ",,
3804,spam_score:,0,GAIZFWIMA62PNRWMKMD3QN45VSM3TFXXD7HGJQKCF5JMADT7GMTI626I,"3,149 ",,
3805,spam_score:,0,GAMLRWKDLYUVBE3753GQVISDMBDRPAMX4ANXVCTIVTU3HRPRVLCV5YNQ,"3,149 ",,
3806,spam_score:,0,GAPRBE7ILVUAUQTVVSIXL6HGDWKQDYJCEOQXIMPXHJO5HATYIBWAS4MU,"3,148 ",,
3807,spam_score:,0,GCISXWC6WGIL6FHT4THRZIUIEITIQS5BS4Q4ZMTBNP3J2H4H2MCIHURR,"3,147 ",,
3811,spam_score:,0,GBB436J6EFG5XIZ7YTAVJB64DYLZAA25O5LK3XR4I4K44JGXK6KRE7RI,"3,143 ",,
3812,spam_score:,0,GDJIU737P6VQLICLNXIXSJEVNAII3SXZDFPOEJYNESTUEHHH7YZDAXHW,"3,143 ",,
3813,spam_score:,0,GDNVX4WY4L2SDQCRDZ63PTOX7IW2SIV6IV2BY2KCVMICUQD7WTRSDMKN,"3,141 ",,
3814,spam_score:,0,GCUP5S7FFQHVMUT4WCQ2QI2QXWMN3WO3XBBNV5N5XBOLF7WOT6RB4QLC,"3,141 ",,
3815,spam_score:,0,GAVSFXF4P7HL7B3FNB2NXTWHQFMMZX636GNPGA5DE65VZ4TTQBLDHL4T,"3,138 ",,
3817,spam_score:,0,GBVBFXNZY7R4BAF47QPLQX2ODCEEDXGEM572WT255TUJFRIZEWRA4G4O,"3,135 ",,
3818,spam_score:,0,GDRCP6N5WXYBMLPDDUNTZPMEWE7MK4MKZW4L6L3KSYGHGFIMXNPWO7PK,"3,135 ",,
3819,spam_score:,0,GBX3DLFLA3PZP2QGGSUJCV4KBKRMA4747AGINIA6IXQX7FKL6SI33BUE,"3,133 ",,
3820,spam_score:,0,GDRHAMVGUZ2VOIHWCPBASBNB2E6M6GVFS7ILD7H4YX6N3WXM6KRIAJR3,"3,132 ",,
3821,spam_score:,0,GCZIQBBGXVUQTAVZPWEY3PIWUN5ZE3UEM6GKGJMMJLAFNVZYWV7KSRT7,"3,132 ",,
3822,spam_score:,0,GBG547VVNJQDUVL6PQEK26DS2XEJLTFJMBFGJARFN4PSFW6Z3TMZZUCH,"3,131 ",,
3823,spam_score:,0,GDRIUCLAJN3VGQEAL5UBCNGWHZL4GBW2EJUGZGGMI5T4QCTUYJC3O62A,"3,131 ",,
