top # of balance,,spam_score,adr,balance@0516,note,
6081,spam_score:,196,GAMELYVNR4X7X5Z4ZJBMTG3FTKXT74TKK5MNMILASC7DYUAGS352EKI3,"1,704 ",,
14040,spam_score:,195,GATJP3PVALS4TMRSTCR5DH2HVF64VZO2S3TJELAEIN32UVFUPYOONNNW,1 ,,
14149,spam_score:,195,GAPATDJODUPTTGGXDHQ7KBIDPIHCAEBIY572VMULI44NURP3QQA6YFEU,1 ,,
22,spam_score:,193,GBYPJSV26D3O3HN7AYTWMZLUVZ26TE2E74TNJXLAUQ2DRJ7BMJRD7JRP,"140,001 ",,
13160,spam_score:,189,GCU6AGRDVESMKDNASMI6D2O2W62FC6TLRGKEHWVUUPAFC3U5HLISXDKV,2 ,,
4982,spam_score:,185,GDCOT6GNRWBOVY4OUUEGB3N6SHYYRLEI5AVWGHP5LPHSGPOGVA35WQC7,"2,283 ",,
14733,spam_score:,185,GBGKQVGOX2S3MPFW6YIK3GDNMG6LZG6Z2747JPVYIZ5SYN624ASUCEIM,1 ,,
2153,spam_score:,183,GBL5JBQQJ36FSZWFWHYEQD2BZID5NUITJJ3XYA5ZYJ6J2L7C32UGRNEU,"5,422 ",,
13876,spam_score:,181,GCB65X532EFQ6CWFFFGAZQ44EJURAXB5HFQ5WLUVRQKVRVGHGTK57TYW,1 ,,
14261,spam_score:,176,GADOGPIO3ND7DYVSNPM7JDJ3JZ23CIEDTX6HYPCV3NDQCRFXAYQMQMS6,1 ,,
11130,spam_score:,174,GDXM6L7GS23RALEACQ7L3OMPR7HVCT26CZJI3RMC2YKI6UCFJPKGYUBY,58 ,,
2950,spam_score:,172,GAKG4WVMZOUG2XPTVOKWEGGTHRUHZ6567LBHHDGRALHFTI7YNCKXEGC7,"4,150 ",,
12691,spam_score:,161,GDDVF6P63NDWHA6R3MKWTIBJ6ECBKM5OSDFPVKYMEVIFXZENWES5KGIX,3 ,,
9601,spam_score:,160,GD4R7MZ34HVTIATKLDVEKLKRUVXDT2UQS625VPGWABP7C3A2CONNMTFB,512 ,,
